Business type,New registrations (April to June),proportion
Retail by mail order/internet,11882,6.648351341
Management consultancy,7920,4.431488185
Letting/operating real estate,7629,4.268664567
Other service activities,7457,4.172425177
Other business support,6081,3.402510058
Buying/selling real estate,6058,3.389640837
IT consultancy,4537,2.538593674
Home construction,4034,2.257149412
Freight transport by road,3888,2.175457837
Take-away food,3867,2.163707678
Dormant Company,3768,2.108314076
Development of building projects,3458,1.934859362
"Other retail sale not in stores, stalls or markets",3369,1.885061073
Other human health activities,3171,1.774273868
Hairdressing and other beauty treatment,2828,1.58235462
Business and domestic software development,2742,1.534234925
Non-specialised wholesale trade,2725,1.524722892
Other information technology service activities,2656,1.48611523
Management of real estate on a fee or contract basis,2486,1.390994903
